Price_Book__r.Name,Product_Name__r.ProductCode,Range_1__c,Range_2__c,From_Date__c,To_Date__c,Value__c,Value_Type__c,Transaction_Type__c,Max_Price__c
QBCC 2017-18 Price Book,BCIPAADJAPP,0.0,10000.0,2017-07-01,2018-06-30,55.4,Dollar,"",""
QBCC 2017-18 Price Book,BCIPAADJAPP,10000.01,50000.0,2017-07-01,2018-06-30,166.3,Dollar,"",""
QBCC 2017-18 Price Book,BCIPAADJAPP,50000.01,100000.0,2017-07-01,2018-06-30,277.15,Dollar,"",""
QBCC 2017-18 Price Book,BCIPAADJAPP,100000.01,250000.0,2017-07-01,2018-06-30,388.05,Dollar,"",""
QBCC 2017-18 Price Book,BCIPAADJAPP,250000.01,500000.0,2017-07-01,2018-06-30,498.9,Dollar,"",""
QBCC 2017-18 Price Book,BCIPAADJAPP,500000.0,750000.0,2017-07-01,2018-06-30,609.75,Dollar,"",""
QBCC 2017-18 Price Book,BCIPAADJAPP,750000.01,1029500.0,2017-07-01,2018-06-30,720.62,Dollar,"",""
QBCC 2017-18 Price Book,BCIPAADJAPP,1029500.01,"",2017-07-01,2018-06-30,0.07,Percentage,"",5543.6
QBCC 2017-18 Price Book,BCIPACERT,0.0,25000.0,2017-07-01,2018-06-30,55.4,Dollar,CE1 FEE,""
QBCC 2017-18 Price Book,BCIPACERT,25000.01,"",2017-07-01,2018-06-30,110.85,Dollar,CE2 FEE,""
QBCC 2018-19 Price Book,BCIPAADJAPP,0.0,10000.0,2018-07-01,2019-06-30,57.35,Dollar,"",""
QBCC 2018-19 Price Book,BCIPAADJAPP,10000.01,50000.0,2018-07-01,2019-06-30,172.1,Dollar,"",""
QBCC 2018-19 Price Book,BCIPAADJAPP,50000.01,100000.0,2018-07-01,2019-06-30,286.85,Dollar,"",""
QBCC 2018-19 Price Book,BCIPAADJAPP,100000.01,250000.0,2018-07-01,2019-06-30,401.65,Dollar,"",""
QBCC 2018-19 Price Book,BCIPAADJAPP,250000.01,500000.0,2018-07-01,2019-06-30,516.35,Dollar,"",""
QBCC 2018-19 Price Book,BCIPAADJAPP,500000.01,750000.0,2018-07-01,2019-06-30,631.1,Dollar,"",""
QBCC 2018-19 Price Book,BCIPAADJAPP,750000.01,1065600.0,2018-07-01,2019-06-30,745.85,Dollar,"",""
QBCC 2018-19 Price Book,BCIPAADJAPP,1065600.01,"",2018-07-01,2019-06-30,0.07,Percentage,"",5737.6
QBCC 2018-19 Price Book,BCIPACERT,0.0,25000.0,2018-07-01,2019-06-30,57.35,Dollar,CE1 FEE,""
QBCC 2018-19 Price Book,BCIPACERT,25000.01,"",2018-07-01,2019-06-30,114.7,Dollar,CE2 FEE,""
QBCC 2018-19 Price Book,BIFADJAPP,0.0,10000.0,2018-12-17,2019-06-30,57.35,Dollar,"",""
QBCC 2018-19 Price Book,BIFADJAPP,10000.01,50000.0,2018-12-17,2019-06-30,172.1,Dollar,"",""
QBCC 2018-19 Price Book,BIFADJAPP,50000.01,100000.0,2018-12-17,2019-06-30,286.85,Dollar,"",""
QBCC 2018-19 Price Book,BIFADJAPP,100000.01,250000.0,2018-12-17,2019-06-30,401.65,Dollar,"",""
QBCC 2018-19 Price Book,BIFADJAPP,250000.01,500000.0,2018-12-17,2019-06-30,516.35,Dollar,"",""
QBCC 2018-19 Price Book,BIFADJAPP,500000.01,750000.0,2018-12-17,2019-06-30,631.1,Dollar,"",""
QBCC 2018-19 Price Book,BIFADJAPP,750000.01,1065600.0,2018-12-17,2019-06-30,745.85,Dollar,"",""
QBCC 2018-19 Price Book,BIFADJAPP,1065600.0,"",2018-12-17,2019-06-30,0.07,Percentage,"",5737.6
QBCC 2019-20 Price Book,BCIPAADJAPP,0.0,10000.0,2019-07-01,2020-06-30,57.35,Dollar,"",""
QBCC 2019-20 Price Book,BCIPAADJAPP,10000.01,50000.0,2019-07-01,2020-06-30,172.1,Dollar,"",""
QBCC 2019-20 Price Book,BCIPAADJAPP,50000.01,100000.0,2019-07-01,2020-06-30,286.85,Dollar,"",""
QBCC 2019-20 Price Book,BCIPAADJAPP,100000.01,250000.0,2019-07-01,2020-06-30,401.65,Dollar,"",""
QBCC 2019-20 Price Book,BCIPAADJAPP,250000.01,500000.0,2019-07-01,2020-06-30,516.35,Dollar,"",""
QBCC 2019-20 Price Book,BCIPAADJAPP,500000.01,750000.0,2019-07-01,2020-06-30,631.1,Dollar,"",""
QBCC 2019-20 Price Book,BCIPAADJAPP,750000.01,1065600.0,2019-07-01,2020-06-30,745.85,Dollar,"",""
QBCC 2019-20 Price Book,BCIPAADJAPP,1065600.01,"",2019-07-01,2020-06-30,0.07,Percentage,"",5737.6
QBCC 2019-20 Price Book,BCIPACERT,0.0,25000.0,2019-07-01,2020-06-30,57.35,Dollar,CE1 FEE,""
QBCC 2019-20 Price Book,BCIPACERT,25000.01,"",2019-07-01,2020-06-30,114.7,Dollar,CE2 FEE,""
QBCC 2019-20 Price Book,BIFADJAPP,0.0,10000.0,2019-07-01,2020-07-01,58.65,Dollar,"",""
QBCC 2019-20 Price Book,BIFADJAPP,10000.01,50000.0,2019-07-01,2020-07-01,175.95,Dollar,"",""
QBCC 2019-20 Price Book,BIFADJAPP,50000.01,100000.0,2019-07-01,2020-07-01,293.3,Dollar,"",""
QBCC 2019-20 Price Book,BIFADJAPP,100000.01,250000.0,2019-07-01,2020-07-01,410.7,Dollar,"",""
QBCC 2019-20 Price Book,BIFADJAPP,250000.01,500000.0,2019-07-01,2020-07-01,527.95,Dollar,"",""
QBCC 2019-20 Price Book,BIFADJAPP,500000.01,750000.0,2019-07-01,2020-07-01,645.3,Dollar,"",""
QBCC 2019-20 Price Book,BIFADJAPP,750000.01,1089576.0,2019-07-01,2020-07-01,762.65,Dollar,"",""
QBCC 2019-20 Price Book,BIFADJAPP,1089576.01,"",2019-07-01,2020-07-01,0.07,Percentage,"",5866.7
QBCC 2020-21 Price Book,BIFADJAPP,0.0,10180.0,2020-07-02,2021-06-30,59.7,Dollar,"",""
QBCC 2020-21 Price Book,BIFADJAPP,10180.01,50900.0,2020-07-02,2021-06-30,179.1,Dollar,"",""
QBCC 2020-21 Price Book,BIFADJAPP,50900.01,101800.0,2020-07-02,2021-06-30,298.55,Dollar,"",""
QBCC 2020-21 Price Book,BIFADJAPP,101800.01,254500.0,2020-07-02,2021-06-30,418.1,Dollar,"",""
QBCC 2020-21 Price Book,BIFADJAPP,254500.01,509000.0,2020-07-02,2021-06-30,537.45,Dollar,"",""
QBCC 2020-21 Price Book,BIFADJAPP,509000.01,763500.0,2020-07-02,2021-06-30,656.9,Dollar,"",""
QBCC 2020-21 Price Book,BIFADJAPP,763500.01,1109188.35,2020-07-02,2021-06-30,776.35,Dollar,"",""
QBCC 2020-21 Price Book,BIFADJAPP,1109188.35,"",2020-07-02,2021-06-30,0.07126,Percentage,"",5972.3
QBCC 2021-22 Price Book,BIFADJAPP,0.0,10353.05,2021-07-01,2022-06-30,60.7,Dollar,"",""
QBCC 2021-22 Price Book,BIFADJAPP,10353.05,51765.3,2021-07-01,2022-06-30,182.15,Dollar,"",""
QBCC 2021-22 Price Book,BIFADJAPP,51765.3,103530.6,2021-07-01,2022-06-30,303.6,Dollar,"",""
QBCC 2021-22 Price Book,BIFADJAPP,103530.6,258826.5,2021-07-01,2022-06-30,425.2,Dollar,"",""
QBCC 2021-22 Price Book,BIFADJAPP,258826.5,517653.0,2021-07-01,2022-06-30,546.6,Dollar,"",""
QBCC 2021-22 Price Book,BIFADJAPP,517653.0,776479.5,2021-07-01,2022-06-30,668.05,Dollar,"",""
QBCC 2021-22 Price Book,BIFADJAPP,776479.5,1128044.55,2021-07-01,2022-06-30,789.55,Dollar,"",""
QBCC 2021-22 Price Book,BIFADJAPP,1128044.55,"",2021-07-01,2022-06-30,0.07247,Percentage,"",6073.8
QBCC 2022-23 Price Book,BIFADJAPP,0,10611.85,2022-07-01,2023-06-30,62.22,Dollar,"",""
QBCC 2022-23 Price Book,BIFADJAPP,10611.85,53059.45,2022-07-01,2023-06-30,186.7,Dollar,"",""
QBCC 2022-23 Price Book,BIFADJAPP,53059.45,106118.85,2022-07-01,2023-06-30,311.19,Dollar,"",""
QBCC 2022-23 Price Book,BIFADJAPP,106118.85,265297.15,2022-07-01,2023-06-30,435.83,Dollar,"",""
QBCC 2022-23 Price Book,BIFADJAPP,265297.15,530594.3,2022-07-01,2023-06-30,560.27,Dollar,"",""
QBCC 2022-23 Price Book,BIFADJAPP,530594.3,795891.5,2022-07-01,2023-06-30,684.75,Dollar,"",""
QBCC 2022-23 Price Book,BIFADJAPP,795891.5,1156245.65,2022-07-01,2023-06-30,809.29,Dollar,"",""
QBCC 2022-23 Price Book,BIFADJAPP,1156245.65,"",2022-07-01,2023-06-30,0.07428175,Percentage,"",6225.65
QBCC 2023-24 Price Book,BIFADJAPP,0,10972.65,2023-07-01,2024-06-30,64.34,Dollar,"",""
QBCC 2023-24 Price Book,BIFADJAPP,10972.65,54863.45,2023-07-01,2024-06-30,193.08,Dollar,"",""
QBCC 2023-24 Price Book,BIFADJAPP,54863.45,109726.9,2023-07-01,2024-06-30,321.82,Dollar,"",""
QBCC 2023-24 Price Book,BIFADJAPP,109726.9,274317.25,2023-07-01,2024-06-30,450.71,Dollar,"",""
QBCC 2023-24 Price Book,BIFADJAPP,274317.25,548634.5,2023-07-01,2024-06-30,579.4,Dollar,"",""
QBCC 2023-24 Price Book,BIFADJAPP,548634.5,822951.8,2023-07-01,2024-06-30,708.13,Dollar,"",""
QBCC 2023-24 Price Book,BIFADJAPP,822951.8,1195558,2023-07-01,2024-06-30,836.92,Dollar,"",""
QBCC 2023-24 Price Book,BIFADJAPP,1195558,,2023-07-01,2024-06-30,0.0814157698,Percentage,"",6438.23
