"GeoLocation__Latitude__s","GeoLocation__Longitude__s","Post_Code__c","State__c","Suburb__c"
"-28.821","148.767","2406","QLD","MUNGINDI"
"-27.4704","153.0258","4000","QLD","BRISBANE CITY"
"-27.4626","153.0133","4000","QLD","PETRIE TERRACE"
"-27.4587","153.0222","4000","QLD","SPRING HILL"
"-27.4681","153.0468","4005","QLD","NEW FARM"
"-27.4554","153.0472","4005","QLD","TENERIFFE"
"-27.4457","153.036","4006","QLD","BOWEN HILLS"
"-27.4572","153.0362","4006","QLD","FORTITUDE VALLEY"
"-27.4493","153.0223","4006","QLD","HERSTON"
"-27.4472","153.0449","4006","QLD","NEWSTEAD"
"-27.4296","153.0626","4007","QLD","ASCOT"
"-27.4394","153.0641","4007","QLD","HAMILTON"
"-27.3861","153.1096","4008","QLD","BRISBANE AIRPORT"
"-27.3966","153.1427","4008","QLD","PINKENBA"
"-27.4313","153.0898","4009","QLD","EAGLE FARM"
"-27.4333","153.0438","4010","QLD","ALBION"
"-27.4201","153.0545","4011","QLD","CLAYFIELD"
"-27.4183","153.0699","4011","QLD","HENDRA"
"-27.4005","153.0637","4012","QLD","NUNDAH"
"-27.3934","153.0471","4012","QLD","WAVELL HEIGHTS"
"-27.3906","153.0716","4013","QLD","NORTHGATE"
"-27.3789","153.0831","4014","QLD","BANYO"
"-27.3706","153.0904","4014","QLD","NUDGEE"
"-27.3494","153.0959","4014","QLD","NUDGEE BEACH"
"-27.3751","153.0634","4014","QLD","VIRGINIA"
"-27.3171","153.0338","4017","QLD","BRACKEN RIDGE"
"-27.2968","153.0571","4017","QLD","BRIGHTON"
"-27.3276","153.0589","4017","QLD","DEAGON"
"-27.3181","153.0632","4017","QLD","SANDGATE"
"-27.3275","153.0816","4017","QLD","SHORNCLIFFE"
"-27.3421","153.0318","4018","QLD","FITZGIBBON"
"-27.342","153.0448","4018","QLD","TAIGUM"
"-27.2454","153.0749","4019","QLD","CLONTARF"
"-27.243","153.1034","4019","QLD","MARGATE"
"-27.256","153.1016","4019","QLD","WOODY POINT"
"-27.2095","153.0903","4020","QLD","NEWPORT"
"-27.2256","153.107","4020","QLD","REDCLIFFE"
"-27.205","153.1096","4020","QLD","SCARBOROUGH"
"-27.221","153.0824","4021","QLD","KIPPA-RING"
"-27.212","153.053","4022","QLD","ROTHWELL"
"-27.079","153.3692","4025","QLD","BULWER"
"-27.1261","153.3659","4025","QLD","COWAN COWAN"
"-27.3493","153.4208","4025","QLD","KOORINGAL"
"-27.4093","153.0466","4030","QLD","KALINGA"
"-27.4202","153.0345","4030","QLD","LUTWYCHE"
"-27.4352","153.0307","4030","QLD","WINDSOR"
"-27.4196","153.0418","4030","QLD","WOOLOOWIN"
"-27.4169","153.0274","4031","QLD","GORDON PARK"
"-27.4029","153.0307","4031","QLD","KEDRON"
"-27.3853","153.0332","4032","QLD","CHERMSIDE"
"-27.3848","153.0123","4032","QLD","CHERMSIDE WEST"
"-27.3656","153.0169","4034","QLD","ASPLEY"
"-27.3482","153.0729","4034","QLD","BOONDALL"
"-27.3458","153.0175","4034","QLD","CARSELDINE"
"-27.3723","153.046","4034","QLD","GEEBUNG"
"-27.3586","153.0397","4034","QLD","ZILLMERE"
"-27.3536","152.9684","4035","QLD","ALBANY CREEK"
"-27.3532","152.9942","4035","QLD","BRIDGEMAN DOWNS"
"-27.3074","153.0171","4036","QLD","BALD HILLS"
"-27.3408","152.9384","4037","QLD","EATONS HILL"
"-27.4237","153.0007","4051","QLD","ALDERLEY"
"-27.4264","152.9743","4051","QLD","ENOGGERA"
"-27.4197","152.9796","4051","QLD","GAYTHORNE"
"-27.4216","153.0158","4051","QLD","GRANGE"
"-27.4351","153.0072","4051","QLD","NEWMARKET"
"-27.4341","153.0178","4051","QLD","WILSTON"
"-27.3901","152.9725","4053","QLD","EVERTON HILLS"
"-27.3996","152.9872","4053","QLD","EVERTON PARK"
"-27.3818","152.9931","4053","QLD","MCDOWALL"
"-27.4104","152.9702","4053","QLD","MITCHELTON"
"-27.4105","153.0104","4053","QLD","STAFFORD"
"-27.3972","153.0086","4053","QLD","STAFFORD HEIGHTS"
"-27.3927","152.9548","4054","QLD","ARANA HILLS"
"-27.4125","152.9526","4054","QLD","KEPERRA"
"-27.3653","152.9367","4055","QLD","BUNYA"
"-27.4032","152.9279","4055","QLD","FERNY GROVE"
"-27.3917","152.9237","4055","QLD","FERNY HILLS"
"-27.4191","152.9196","4055","QLD","UPPER KEDRON"
"-27.4484","153.012","4059","QLD","KELVIN GROVE"
"-27.4522","153.0009","4059","QLD","RED HILL"
"-27.4429","152.9827","4060","QLD","ASHGROVE"
"-27.4433","152.9451","4061","QLD","THE GAP"
"-27.4691","153.0052","4064","QLD","MILTON"
"-27.4607","153.0001","4064","QLD","PADDINGTON"
"-27.4595","152.9775","4065","QLD","BARDON"
"-27.4746","152.9949","4066","QLD","AUCHENFLOWER"
"-27.4761","152.9496","4066","QLD","MOUNT COOT-THA"
"-27.4791","152.9846","4066","QLD","TOOWONG"
"-27.4994","153.0066","4067","QLD","ST LUCIA"
"-27.5124","152.9752","4068","QLD","CHELMER"
"-27.5045","152.9825","4068","QLD","INDOOROOPILLY"
"-27.4951","152.9854","4068","QLD","TARINGA"
"-27.4838","152.9013","4069","QLD","BROOKFIELD"
"-27.4994","152.9497","4069","QLD","CHAPEL HILL"
"-27.5292","152.9618","4069","QLD","FIG TREE POCKET"
