Type_Class_Grade_Code__c,Qualification_Requirements__c,Display_on_FPLFT__c
I - FFSP - NOMINEE SUPERVISOR,<p>Possession of a building surveying accreditation issued by either:</p><ol><li>the Australian Institute of Building Surveyors ACN 004 540 836; or</li><li>RICS Australasia Pty Ltd ACN 089 873 067.</li></ol>,true
I - FFSP - CONTRACTOR,<p>Possession of a building surveying accreditation issued by either:</p><ol><li>the Australian Institute of Building Surveyors ACN 004 540 836; or</li><li>RICS Australasia Pty Ltd ACN 089 873 067.</li></ol>,true
I - FOSP - FIRE OCCUPATIONAL,<p>Possession of a building surveying accreditation issued by either–</p><ol><li>the Australian Institute of Building Surveyors ACN 004 540 836; or</li><li>RICS Australasia Pty Ltd ACN 089 873 067.</li></ol>,true
I - FPSC - NOMINEE SUPERVISOR,"<ol><li>successful completion of Certificate IV in Fire Systems Compliance – Passive Fire Equipment stream 30903QLD; and</li><li>successful completion of either:<ol><li>Certificate III in Carpentry CPC30220; or</li><li>Certificate III in Wall and Ceiling Lining CPC31220; and</li></ol></li><li>successful completion of the following units of competency:<ol><li>Quality assure fire-rated lining systems CPCCBC4047A;</li><li>Identify, inspect and test passive fire and smoke containment products and systems CPPFES2039;</li><li>Read and interpret plans and specifications CPCCBC4012;</li><li>Carry out work-based risk control processes CPCPCM4011;</li><li>Estimate and cost work CPCPCM4012;</li><li>Prepare simple drawings CPCPCM3024;</li><li>Establish legal and risk management requirements of new business ventures BSBESB402;</li><li>Plan finances for new business ventures BSBESB403;</li><li>Research and develop business plans BSBESB401; or</li></ol></li><li>successful completion of a course, or units of competency of a course, the commission considers is at least equivalent to the course or units of competency mentioned in paragraph (1), (2) or (3).</li></ol><p><br></p>",true
I - FPSC - CONTRACTOR,"<ol><li>successful completion of Certificate IV in Fire Systems Compliance – Passive Fire Equipment stream 30903QLD; and</li><li>successful completion of either:<ol><li>Certificate III in Carpentry CPC30220; or</li><li>Certificate III in Wall and Ceiling Lining CPC31220; and</li></ol></li><li>successful completion of the following units of competency:<ol><li>Quality assure fire-rated lining systems CPCCBC4047A;</li><li>Identify, inspect and test passive fire and smoke containment products and systems CPPFES2039;</li><li>Read and interpret plans and specifications CPCCBC4012;</li><li>Carry out work-based risk control processes CPCPCM4011;</li><li>Estimate and cost work CPCPCM4012;</li><li>Prepare simple drawings CPCPCM3024;</li><li>Establish legal and risk management requirements of new business ventures BSBESB402;</li><li>Plan finances for new business ventures BSBESB403;</li><li>Research and develop business plans BSBESB401; or</li></ol></li><li>successful completion of a course, or units of competency of a course, the commission considers is at least equivalent to the course or units of competency mentioned in paragraph (1), (2) or (3).</li></ol><p><br></p>",true
I - FPSDIM - NOMINEE SUPERVISOR,"<ol><li>successful completion of Certificate III in Carpentry CPC30220; including the following units of competency:<ol><li>Read and interpret plans and specifications CPCCBC4012;</li><li>Carry out work-based risk control processes CPCPCM4011;</li><li>Estimate and cost work CPCPCM4012;</li><li>Prepare simple drawings CPCPCM3024;</li><li>Establish legal and risk management requirements of new business ventures BSBESB402;</li><li>Plan finances for new business ventures BSBESB403;</li><li>Research and develop business plans BSBESB401; or</li></ol></li><li>successful completion of a course, or units of competency of a course, the commission considers is at least equivalent to the course or units of competency mentioned in paragraph (1).</li></ol>",true
I - FPSDIM - CONTRACTOR,"<ol><li>successful completion of Certificate III in Carpentry CPC30220; including the following units of competency:<ol><li>Read and interpret plans and specifications CPCCBC4012;</li><li>Carry out work-based risk control processes CPCPCM4011;</li><li>Estimate and cost work CPCPCM4012;</li><li>Prepare simple drawings CPCPCM3024;</li><li>Establish legal and risk management requirements of new business ventures BSBESB402;</li><li>Plan finances for new business ventures BSBESB403;</li><li>Research and develop business plans BSBESB401; or</li></ol></li><li>successful completion of a course, or units of competency of a course, the commission considers is at least equivalent to the course or units of competency mentioned in paragraph (1).</li></ol>",true
I - FPSPIM - NOMINEE SUPERVISOR,"<ol><li>successful completion of either:<ol><li>Certificate III in Carpentry CPC30200; or</li><li>Certificate III in Wall and Ceiling Lining CPC31220; and</li></ol></li><li>successful completion of the following units of competency:<ol><li>Identify, inspect and test passive fire and smoke containment products and systems CPPFES2039;</li><li>Read and interpret plans and specifications CPCCBC4012;</li><li>Carry out work-based risk control processes CPCPCM4011;</li><li>Estimate and cost work CPCPCM4012;</li><li>Prepare simple drawings CPCPCM3024;</li><li>Establish legal and risk management requirements of new business ventures BSBESB402;</li><li>Plan finances for new business ventures BSBESB403;</li><li>Research and develop business plans BSBESB401; or</li></ol></li><li>successful completion of a course, or units of competency of a course, the commission considers is at least equivalent to the course or units of competency mentioned in paragraph (1) or (2).</li></ol><p><br></p>",true
I - FPSPIM - CONTRACTOR,"<ol><li>successful completion of either:<ol><li>Certificate III in Carpentry CPC30200; or</li><li>Certificate III in Wall and Ceiling Lining CPC31220; and</li></ol></li><li>successful completion of the following units of competency:<ol><li>Identify, inspect and test passive fire and smoke containment products and systems CPPFES2039;</li><li>Read and interpret plans and specifications CPCCBC4012;</li><li>Carry out work-based risk control processes CPCPCM4011;</li><li>Estimate and cost work CPCPCM4012;</li><li>Prepare simple drawings CPCPCM3024;</li><li>Establish legal and risk management requirements of new business ventures BSBESB402;</li><li>Plan finances for new business ventures BSBESB403;</li><li>Research and develop business plans BSBESB401; or</li></ol></li><li>successful completion of a course, or units of competency of a course, the commission considers is at least equivalent to the course or units of competency mentioned in paragraph (1) or (2).</li></ol><p><br></p>",true
I - FPSWIM - NOMINEE SUPERVISOR,"<p>Successful completion of either:</p><ol><li>Certificate III in Carpentry CPC30220, including the following units of competency:<ol><li>Install drywall passive fire-rated systems CPCCWC3003;</li><li>Identify, inspect and test fire and smoke doors CPPFES2035;</li><li>Identify, inspect and test passive fire and smoke containment products and systems CPPFES2039; or</li></ol></li><li>Certificate III in Wall and Ceiling Lining CPC31220, including the following units of competency:<ol><li>Install drywall passive fire-rated systems CPCCWC3003;</li><li>Identify, inspect and test fire and smoke doors CPPFES2035;</li><li>Identify, inspect and test passive fire and smoke containment products and systems CPPFES2039; and</li></ol></li><li>successful completion of the following units of competency:<ol><li>Read and interpret plans and specifications CPCCBC4012;</li><li>Carry out work-based risk control processes CPCPCM4011;</li><li>Estimate and cost work CPCPCM4012;</li><li>Prepare simple drawings CPCPCM3024;</li><li>Establish legal and risk management requirements of new business ventures BSBESB402;</li><li>Plan finances for new business ventures BSBESB403;</li><li>Research and develop business plans BSBESB401; or</li></ol></li><li>successful completion of a course or units of competency of a course, the commission considers is at least equivalent to the course or units of competency mentioned in paragraph (1), (2) or (3).</li></ol><p><br></p>",true
