Licence_Class__c.Code__c,Licence_Class__c.Description__c,Licence_Class__c.From_Date__c,Licence_Class__c.To_Date__c,Licence_Class__c.Sub_Type__c,Licence_Grade__c.Code__c,Licence_Grade__c.Description__c,Licence_Grade__c.From_Date__c,Licence_Grade__c.To_Date__c,Licence_Class_Grade__c.From_Date__c,Licence_Class_Grade__c.To_Date__c,Licence_Type_Class_Grade__c.Licence_Type__c
FFSP,Fire Safety Professional,1900-01-01,,C,NOMINEE SUPERVISOR,Nominee Supervisor,1900-01-01,,1900-01-01,,I
FFSP,Fire Safety Professional,1900-01-01,,C,CONTRACTOR,Trade Contractor Licence,1900-01-01,,1900-01-01,,I
FOSP,Fire Safety Professional - Occupational,1900-01-01,,OCC,FIRE OCCUPATIONAL,Fire Occupational,1900-01-01,,1900-01-01,,I
FPSC,Fire Protection - Passive Stream - Certify,1900-01-01,,C,NOMINEE SUPERVISOR,Nominee Supervisor,1900-01-01,,1900-01-01,,I
FPSC,Fire Protection - Passive Stream - Certify,1900-01-01,,C,CONTRACTOR,Trade Contractor Licence,1900-01-01,,1900-01-01,,I
FPSDIM,Fire Protection - Passive Stream - Install and Maintain - Fire Doors and Fire Shutters,1900-01-01,,C,NOMINEE SUPERVISOR,Nominee Supervisor,1900-01-01,,1900-01-01,,I
FPSDIM,Fire Protection - Passive Stream - Install and Maintain - Fire Doors and Fire Shutters,1900-01-01,,C,CONTRACTOR,Trade Contractor Licence,1900-01-01,,1900-01-01,,I
FPSPIM,"Fire Protection - Passive Stream - Install and Maintain - Fire Collars, Fire-rated Penetrations and Fire-rated Joint Sealing",1900-01-01,,C,NOMINEE SUPERVISOR,Nominee Supervisor,1900-01-01,,1900-01-01,,I
FPSPIM,"Fire Protection - Passive Stream - Install and Maintain - Fire Collars, Fire-rated Penetrations and Fire-rated Joint Sealing",1900-01-01,,C,CONTRACTOR,Trade Contractor Licence,1900-01-01,,1900-01-01,,I
FPSWIM,Fire Protection - Passive Stream - Install and Maintain - Fire and Smoke Walls and Fire-rated Ceilings,1900-01-01,,C,NOMINEE SUPERVISOR,Nominee Supervisor,1900-01-01,,1900-01-01,,I
FPSWIM,Fire Protection - Passive Stream - Install and Maintain - Fire and Smoke Walls and Fire-rated Ceilings,1900-01-01,,C,CONTRACTOR,Trade Contractor Licence,1900-01-01,,1900-01-01,,I
FPSIT,Fire Protection - Passive Stream - Inspect and Test,1900-01-01,,C,NOMINEE SUPERVISOR,Nominee Supervisor,1900-01-01,,1900-01-01,,I
FPSIT,Fire Protection - Passive Stream - Inspect and Test,1900-01-01,,C,CONTRACTOR,Trade Contractor Licence,1900-01-01,,1900-01-01,,I
FSHC,Fire Protection - Special Hazard Fire System Stream - Certify,1900-01-01,,C,NOMINEE SUPERVISOR,Nominee Supervisor,1900-01-01,,1900-01-01,,I
FSHC,Fire Protection - Special Hazard Fire System Stream - Certify,1900-01-01,,C,CONTRACTOR,Trade Contractor Licence,1900-01-01,,1900-01-01,,I
FSHIM,Fire Protection - Special Hazard Fire System Stream - Install and Maintain,1900-01-01,,C,NOMINEE SUPERVISOR,Nominee Supervisor,1900-01-01,,1900-01-01,,I
FSHIM,Fire Protection - Special Hazard Fire System Stream - Install and Maintain,1900-01-01,,C,CONTRACTOR,Trade Contractor Licence,1900-01-01,,1900-01-01,,I
FWD,Fire Protection - Water-Based Fire System Stream - Design,1900-01-01,,C,NOMINEE SUPERVISOR,Nominee Supervisor,1900-01-01,,1900-01-01,,I
FWD,Fire Protection - Water-Based Fire System Stream - Design,1900-01-01,,C,CONTRACTOR,Trade Contractor Licence,1900-01-01,,1900-01-01,,I
FWC,Fire Protection - Water-Based Fire System Stream - Certify,1900-01-01,,C,NOMINEE SUPERVISOR,Nominee Supervisor,1900-01-01,,1900-01-01,,I
FWC,Fire Protection - Water-Based Fire System Stream - Certify,1900-01-01,,C,CONTRACTOR,Trade Contractor Licence,1900-01-01,,1900-01-01,,I
