Field_1__c,Field_2__c,Field_3__c,Field_4__c,Field_1_Description__c,Field_2_Description__c,Field_3_Description__c,Field_4_Description__c,Type__c,Action_Type__c,Action_Label__c,Action_Body__c
Class 1,Existing,Altering,"Fire service, including hydrant or sprinkler system","","",Altering generally means modifying existing plumbing or drainage,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,"<p>The work is <a href=""https://www.qbcc.qld.gov.au/notifiable-work-plumbing-drainage/permit-work-minor-work-unregulated-work"" target=""_blank"">PERMIT WORK</a>.</p><p><br></p><p>Work cannot commence until the local government has issued a permit for the work.</p>"
Class 1,Existing,Altering,Sanitary drain,"","",Altering generally means modifying existing plumbing or drainage,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 1,Existing,Altering,Sanitary plumbing - stack or elevated pipework,"","",Altering generally means modifying existing plumbing or drainage,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 1,Existing,Altering,Water service,"","",Altering generally means modifying existing plumbing or drainage,"",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is NOTIFIABLE WORK.
Class 1,Existing,Cleaning,Ground level grate for a trap on a sanitary drain,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is UNREGULATED WORK.
Class 1,Existing,Commissioning,A fixture or fitting (may include more than one fixture or fitting),"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 1,Existing,Commissioning,"A tap, cistern, pump, siphon, valve, arrestor, domestic water filter, water meter or water softener","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 1,Existing,Commissioning,Automatic switching device for a rainwater tank,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 1,Existing,Commissioning,Dual check valve with atmospheric port,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 1,Existing,Commissioning,Fire Hydrant or fire hose reel,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 1,Existing,Commissioning,"Fire service, including hydrant or sprinkler system","","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 1,Existing,Commissioning,Greywater treatment plant,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
Class 1,Existing,Commissioning,Hot water heater,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,<p>The work is MINOR WORK.</p><p><br></p><p>Note: A licensed plumber commissioning a solar or heat pump hot water heater must hold the relevant endorsement on their plumber&#39;s licence.</p>
Class 1,Existing,Commissioning,Non-testable backflow prevention device,"","","","",Notifiable Works Interactive Guide - Descriptive,Popup,Please Note,The work is MINOR WORK.
