Chart Account Message Title 1,Chart Account Message Title 2,Chart Account Message Title 3,DirectDebit,Document type,Document Type Message Title 1,Document Type Message Title 2,MasterRecTypeID,Message GUID,MessagePayloadRecTypeID,Name,Number of Headers,Number of Lines,Number of Messages,Payload Type Message Title 1,Payload Type Message Title 2,Payload Type Message Title 3,Payload Type Message Title 4,Template ID
"","","","FALSE","","","","","<ed3ae5a5-c2e2-4e27-b0f9-91df2b4caedb@PRDIS03.qbsa.local>","","PolicyTransOnlineNewLegislation","1.0","2.0","3.0","","","","","PolicyTransOnlineNewLegislation"
"","","","False","","","","","<c5a73019-8008-4b5c-b49e-df7d30a95177@PRDIS03.qbsa.local>","","ClaimsDispute","1.0","2.0","2.0","","","","","2-ClaimsDispute"
"","","","","","","","","<f39830a5-c3b2-4340-8314-5fc9476d9307@ip-10-0-1-209>","","PolicyNewDebtor","1.0","1.0","1.0","","","","","PolicyNewDebtor"
"","","","False","","","","","<d49f55ee-3add-4903-a53f-0c4256573768@PRDIS03.qbsa.local>","","ClaimsInvoice","1.0","2.0","3.0","","","","","1-ClaimsApproval"
"","","","False","","","","","<c5a73019-8008-4b5c-b49e-df7d30a95177@PRDIS03.qbsa.local>","","DisputePurchaseOrder","1.0","2.0","1.0","","","","","1-DisputePurchaseOrder"
"","","","FALSE","","","","","<485f7d72-0d11-4357-9c1b-beeb937c6c0c@MULE>","","PolicyTransOnlineOldLegislationCanRef","1.0","2.0","4.0","","","","","PolicyTransOnlineOldLegislationCanRef"
"","","","TRUE","","","","","<ed3ae5a5-c2e2-4e27-b0f9-91df2b4caedb@PRDIS03.qbsa.local>","","PolicyTransNewLegislation","1.0","2.0","3.0","","","","","PolicyTransNewLegislation"
"","","","False","","","","","<191ee66b-bd50-4744-8664-9ab8a0f7d1a9@PRDIS03.qbsa.local>","","ClaimApproval","1.0","2.0","3.0","","","","","ClaimApproval"
"","","","false","","","","","<d69177e9-270a-4030-8a38-354a4d8ca955@PRDIS03.qbsa.local>","","ClaimRecoveries","2.0","2.0","1.0","","","","","ClaimRecoveries"
"","","","FALSE","","","","","<485f7d72-0d11-4357-9c1b-beeb937c6c0c@MULE>","","PolicyTransOnlineOldLegislation","1.0","2.0","4.0","","","","","PolicyTransOnlineOldLegislation"
"","","","TRUE","","","","","<485f7d72-0d11-4357-9c1b-beeb937c6c0c@MULE>","","PolicyTransOldLegislation","1.0","2.0","4.0","","","","","PolicyTransOldLegislation"
"","","","false","","","","","<136d4565-3196-4cf3-ae2d-58f041d96f9c@TRNIS03.qbsa.local>","","ChartofAccount","1.0","0.0","1.0","","","","","ChartofAccount"
"","","","FALSE","","","","","<ed3ae5a5-c2e2-4e27-b0f9-91df2b4caedb@PRDIS03.qbsa.local>","","PolicyTransOnlineNewLegislationCanRef","1.0","2.0","3.0","","","","","PolicyTransOnlineNewLegislationCanRef"
"BSA.Build.ExternalIntegration.Messages.Common.AggregateMessage, BSA.Build.ExternalIntegration.Messages.Common","BSA.Build.FinancialIntegration.Messages.Plumbing.NotifiableWorkAddedMessage, BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.ChartAccount.NotifiableWorkDetails, BSA.Build.FinancialIntegration.Messages","FALSE","NWREC","BSA.Build.FinancialIntegration.Messages.Payloads.Document.DocumentFile, BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.Document.Document, BSA.Build.FinancialIntegration.Messages","","eraggeggerg","","NWF4","2.0","2.0","2.0","","","BSA.Build.FinancialIntegration.Messages.Plumbing.NotifiableWorkPaymentReceivedMessage, BSA.Build.FinancialIntegration.Messages","","NWF4"
"BSA.Build.ExternalIntegration.Messages.Common.AggregateMessage, BSA.Build.ExternalIntegration.Messages.Common","BSA.Build.FinancialIntegration.Messages.Plumbing.NotifiableWorkAddedMessage, BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.ChartAccount.NotifiableWorkDetails, BSA.Build.FinancialIntegration.Messages","FALSE","NWINV","BSA.Build.FinancialIntegration.Messages.Payloads.Document.DocumentFile, BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.Document.Document, BSA.Build.FinancialIntegration.Messages","","vdsvdxzsx","","NWF4M","2.0","2.0","2.0","","","BSA.Build.FinancialIntegration.Messages.Plumbing.NotifiableWorkPaymentReceivedMessage, BSA.Build.FinancialIntegration.Messages","","NWF4M"
"BSA.Build.ExternalIntegration.Messages.Common.AggregateMessage, BSA.Build.ExternalIntegration.Messages.Common","BSA.Build.FinancialIntegration.Messages.BCIPACase.BcipaCaseAddedMessage,BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.ChartAccount.BcipaCaseDetails,BSA.Build.FinancialIntegration.Messages","FALSE","ADJINVRC","BSA.Build.FinancialIntegration.Messages.Payloads.Document.DocumentFile, BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.Document.Document, BSA.Build.FinancialIntegration.Messages","","dummyguid","","BCIPACERT","2.0","2.0","2.0","","","BSA.Build.FinancialIntegration.Messages.BCIPACase.BcipaCasePaymentReceivedMessage,BSA.Build.FinancialIntegration.Messages","","BCIPACertificate"
"BSA.Build.ExternalIntegration.Messages.Common.AggregateMessage, BSA.Build.ExternalIntegration.Messages.Common","BSA.Build.FinancialIntegration.Messages.BCIPACase.BcipaCaseAddedMessage,BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.ChartAccount.BcipaCaseDetails,BSA.Build.FinancialIntegration.Messages","FALSE","ADJINVRC","BSA.Build.FinancialIntegration.Messages.Payloads.Document.DocumentFile, BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.Document.Document, BSA.Build.FinancialIntegration.Messages","","dummyguidApp","","BCIPAADJAPP","2.0","2.0","2.0","","","BSA.Build.FinancialIntegration.Messages.BCIPACase.BcipaCasePaymentReceivedMessage,BSA.Build.FinancialIntegration.Messages","","BCIPAApplication"
"BSA.Build.ExternalIntegration.Messages.Common.AggregateMessage, BSA.Build.ExternalIntegration.Messages.Common","BSA.Build.FinancialIntegration.Messages.InsuranceSearch.InsuranceSearchAddedMessage,BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.ChartAccount.InsuranceSearchDetails, BSA.Build.FinancialIntegration.Messages","","ISRINVRC","BSA.Build.FinancialIntegration.Messages.Payloads.Document.DocumentFile, BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.Document.Document, BSA.Build.FinancialIntegration.Messages","","dummyguid","","ISR","2.0","2.0","2.0","","","BSA.Build.FinancialIntegration.Messages.InsuranceSearch.InsuranceSearchPaymentReceivedMessage,BSA.Build.FinancialIntegration.Messages","","InsuranceSearch"
"BSA.Build.ExternalIntegration.Messages.Common.AggregateMessage, BSA.Build.ExternalIntegration.Messages.Common","BSA.Build.FinancialIntegration.Messages.BIFCase.BIFCaseAddedMessage,BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.ChartAccount.BIFCaseDetails,BSA.Build.FinancialIntegration.Messages","FALSE","ADJINVRC","BSA.Build.FinancialIntegration.Messages.Payloads.Document.DocumentFile, BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.Document.Document, BSA.Build.FinancialIntegration.Messages","","dummyguidApp","","BIFADJAPP","2.0","2.0","2.0","BSA.Build.FinancialIntegration.Messages.Payloads.Document.BIFCaseLineItem, BSA.Build.FinancialIntegration.Messages","","BSA.Build.FinancialIntegration.Messages.BIFCase.BIFCasePaymentReceivedMessage,BSA.Build.FinancialIntegration.Messages","","BIFApplication"
"BSA.Build.ExternalIntegration.Messages.Common.AggregateMessage,BSA.Build.ExternalIntegration.Messages.Common","BSA.Build.FinancialIntegration.Messages.Infringement.SFInfringementAddedMessage,BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.ChartAccount.InfringementDetails,BSA.Build.FinancialIntegration.Messages","","SFINFR","BSA.Build.FinancialIntegration.Messages.Payloads.Document.DocumentFile,BSA.Build.FinancialIntegration.Messages","BSA.Build.FinancialIntegration.Messages.Payloads.Document.Document,BSA.Build.FinancialIntegration.Messages","","dummyguid","","INNO","2.0","2.0","2.0","","","BSA.Build.FinancialIntegration.Messages.Infringement.SFInfringementDocumentAddedMessage, BSA.Build.FinancialIntegration.Messages","","Infringement"
